#,CraftType,RecipeLevelTable,Name,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredControl,RequiredCraftsmanship
0,Woodworking,RecipeLevelTable#0,,50,100,100,100,0,0
1,Smithing,RecipeLevelTable#1,Bronze Ingot,0,50,80,67,0,0
2,Smithing,RecipeLevelTable#1,Bronze Hatchet,50,100,100,100,0,0
3,Smithing,RecipeLevelTable#2,Bronze Bastard Sword,50,100,100,100,0,0
4,Smithing,RecipeLevelTable#2,Amateur's File,50,100,100,100,0,0
5,Smithing,RecipeLevelTable#3,Bronze Rivets,50,50,80,67,0,0
6,Smithing,RecipeLevelTable#3,Bronze War Axe,50,100,100,100,0,0
7,Smithing,RecipeLevelTable#3,Amateur's Pliers,50,100,100,100,0,0
8,Smithing,RecipeLevelTable#4,Amateur's Awl,50,100,100,100,0,0
9,Smithing,RecipeLevelTable#4,Bronze Saw,50,100,100,100,0,0
10,Smithing,RecipeLevelTable#5,Amateur's Claw Hammer,50,100,100,100,0,0
11,Smithing,RecipeLevelTable#5,Bronze Cross-pein Hammer,50,100,100,100,0,0
12,Smithing,RecipeLevelTable#5,Bronze Doming Hammer,50,100,100,100,0,0
13,Smithing,RecipeLevelTable#6,Amateur's Culinary Knife,50,100,100,100,0,0
14,Smithing,RecipeLevelTable#6,Amateur's Mortar,50,100,100,100,0,0
15,Smithing,RecipeLevelTable#7,Viking Sword,50,100,100,100,0,0
16,Smithing,RecipeLevelTable#7,Bronze Chaser Hammer,50,100,100,100,0,0
17,Smithing,RecipeLevelTable#7,Bronze Labrys,50,100,100,100,0,0
18,Smithing,RecipeLevelTable#8,Bronze Pickaxe,50,100,100,100,0,0
19,Smithing,RecipeLevelTable#8,Bronze Head Knife,50,100,100,100,0,0
20,Smithing,RecipeLevelTable#9,Cloud Axe,50,150,75,100,0,0
21,Smithing,RecipeLevelTable#9,Bronze Claw Hammer,50,100,100,100,0,0
22,Smithing,RecipeLevelTable#10,Bronze File,50,100,100,100,0,0
23,Smithing,RecipeLevelTable#10,Bronze Pliers,50,100,100,100,0,0
24,Smithing,RecipeLevelTable#10,Bronze Mortar,50,100,100,100,0,0
25,Smithing,RecipeLevelTable#10,Amateur's Cross-pein Hammer,50,100,100,100,0,0
26,Smithing,RecipeLevelTable#10,Amateur's Chaser Hammer,50,100,100,100,0,0
27,Smithing,RecipeLevelTable#11,Bronze Awl,50,100,100,100,0,0
28,Smithing,RecipeLevelTable#11,Bronze Scythe,50,100,100,100,0,0
29,Smithing,RecipeLevelTable#11,Amateur's Doming Hammer,50,100,100,100,0,0
30,Smithing,RecipeLevelTable#11,Amateur's Pickaxe,50,100,100,100,0,0
31,Smithing,RecipeLevelTable#11,Amateur's Head Knife,50,100,100,100,0,0
32,Smithing,RecipeLevelTable#12,Bronze Culinary Knife,50,100,100,100,0,0
33,Smithing,RecipeLevelTable#12,Bronze Sledgehammer,50,100,100,100,0,0
34,Smithing,RecipeLevelTable#12,Amateur's Saw,50,100,100,100,0,0
35,Smithing,RecipeLevelTable#12,Amateur's Hatchet,50,100,100,100,0,0
36,Smithing,RecipeLevelTable#12,Bronze Ornamental Hammer,50,150,75,100,0,0
37,Smithing,RecipeLevelTable#13,Bronze Knuckles,50,100,100,100,0,0
38,Smithing,RecipeLevelTable#13,Bronze Spatha,50,100,100,100,0,0
39,Smithing,RecipeLevelTable#14,Spiked Bronze Labrys,50,100,100,100,0,0
40,Smithing,RecipeLevelTable#14,Brass Head Knife,50,150,75,100,0,0
41,Smithing,RecipeLevelTable#15,Birdsbeak Hammer,50,100,100,100,0,0
42,Smithing,RecipeLevelTable#15,Bronze Raising Hammer,50,100,100,100,0,0
43,Smithing,RecipeLevelTable#16,Iron Ingot,0,50,80,58,0,0
44,Smithing,RecipeLevelTable#16,Plumed Bronze Pickaxe,50,150,75,100,0,0
45,Smithing,RecipeLevelTable#16,Brass Bastard Sword,50,150,75,100,0,0
46,Smithing,RecipeLevelTable#16,Chocobotail Saw,50,150,75,100,0,0
47,Smithing,RecipeLevelTable#16,Brass Knuckles,50,150,75,100,0,0
48,Smithing,RecipeLevelTable#17,Iron War Axe,50,100,100,100,0,0
49,Smithing,RecipeLevelTable#17,Iron Hatchet,50,100,100,100,0,0
50,Smithing,RecipeLevelTable#17,Iron Labrys,50,100,100,100,0,0
51,Smithing,RecipeLevelTable#18,Iron Rivets,50,50,80,58,0,0
52,Smithing,RecipeLevelTable#18,Iron Cross-pein Hammer,50,100,100,100,0,0
53,Smithing,RecipeLevelTable#18,Iron Chaser Hammer,50,100,100,100,0,0
54,Smithing,RecipeLevelTable#18,Iron Doming Hammer,50,100,100,100,0,0
55,Smithing,RecipeLevelTable#19,Iron Awl,50,100,100,100,0,0
56,Smithing,RecipeLevelTable#19,Initiate's Hatchet,50,100,100,100,0,0
57,Smithing,RecipeLevelTable#19,Initiate's Head Knife,50,100,100,100,0,0
58,Smithing,RecipeLevelTable#19,Initiate's Sledgehammer,50,100,100,100,0,0
59,Smithing,RecipeLevelTable#20,Brass Viking Sword,50,150,75,100,0,0
60,Smithing,RecipeLevelTable#20,Iron Pickaxe,50,100,100,100,0,0
61,Smithing,RecipeLevelTable#20,Initiate's Saw,50,100,100,100,0,0
62,Smithing,RecipeLevelTable#20,Iron Claw Hammer,50,100,100,100,0,0
63,Smithing,RecipeLevelTable#20,Carnage Sword,50,150,75,100,0,0
64,Smithing,RecipeLevelTable#21,Iron Culinary Knife,50,100,100,100,0,0
65,Smithing,RecipeLevelTable#21,Iron Scythe,50,100,100,100,0,0
66,Smithing,RecipeLevelTable#21,Iron Mortar,50,100,100,100,0,0
67,Smithing,RecipeLevelTable#21,Inferno Axe,50,150,75,100,0,0
68,Smithing,RecipeLevelTable#21,Initiate's Cross-pein Hammer,50,100,100,100,0,0
69,Smithing,RecipeLevelTable#21,Initiate's Chaser Hammer,50,100,100,100,0,0
70,Smithing,RecipeLevelTable#21,Initiate's Doming Hammer,50,100,100,100,0,0
71,Smithing,RecipeLevelTable#22,Iron File,50,100,100,100,0,0
72,Smithing,RecipeLevelTable#22,Iron Pliers,50,100,100,100,0,0
73,Smithing,RecipeLevelTable#22,Initiate's Pickaxe,50,100,100,100,0,0
74,Smithing,RecipeLevelTable#22,Iron Shortsword,50,100,100,100,0,0
75,Smithing,RecipeLevelTable#23,Iron Sledgehammer,50,100,100,100,0,0
76,Smithing,RecipeLevelTable#23,Initiate's Awl,50,100,100,100,0,0
77,Smithing,RecipeLevelTable#23,Spiked Knuckles,50,100,100,100,0,0
78,Smithing,RecipeLevelTable#24,Iron Bill,50,100,100,100,0,0
79,Smithing,RecipeLevelTable#24,Brass Hatchet,50,150,75,100,0,0
80,Smithing,RecipeLevelTable#24,Bas-relief Iron Saw,50,100,100,100,0,0
81,Smithing,RecipeLevelTable#24,Initiate's Claw Hammer,50,100,100,100,0,0
82,Smithing,RecipeLevelTable#24,Initiate's Mortar,50,100,100,100,0,0
83,Smithing,RecipeLevelTable#25,Iron Round Knife,50,100,100,100,0,0
84,Smithing,RecipeLevelTable#25,Iron Spatha,50,100,100,100,0,0
85,Smithing,RecipeLevelTable#25,Initiate's Culinary Knife,50,100,100,100,0,0
86,Smithing,RecipeLevelTable#25,Initiate's Scythe,50,100,100,100,0,0
87,Smithing,RecipeLevelTable#26,Steel Ingot,0,50,80,58,0,0
88,Smithing,RecipeLevelTable#26,Iron Ornamental Hammer,50,150,75,100,0,0
89,Smithing,RecipeLevelTable#26,Iron Raising Hammer,50,100,100,100,0,0
90,Smithing,RecipeLevelTable#26,Crowsbeak Hammer,50,100,100,100,0,0
91,Smithing,RecipeLevelTable#26,Thunderstorm Axe,50,150,75,100,0,0
92,Smithing,RecipeLevelTable#27,Initiate's File,50,100,100,100,0,0
93,Smithing,RecipeLevelTable#27,Initiate's Pliers,50,100,100,100,0,0
94,Smithing,RecipeLevelTable#27,Iron Dolabra,50,100,100,100,0,0
95,Smithing,RecipeLevelTable#28,Steel Broadsword,50,100,100,100,0,0
96,Smithing,RecipeLevelTable#28,Iron Chocobotail Saw,50,100,100,100,0,0
97,Smithing,RecipeLevelTable#28,Spiked Steel Labrys,50,100,100,100,0,0
98,Smithing,RecipeLevelTable#29,Steel Rivets,50,50,80,58,0,0
99,Smithing,RecipeLevelTable#29,Iron Head Knife,50,100,100,100,0,0
100,Smithing,RecipeLevelTable#29,Plumed Iron Hatchet,50,100,100,100,0,0
101,Smithing,RecipeLevelTable#29,Heavy Crowsbeak Hammer,50,150,75,100,0,0
102,Smithing,RecipeLevelTable#29,Steel Claws,50,100,100,100,0,0
103,Smithing,RecipeLevelTable#29,Wrapped Iron Raising Hammer,50,150,75,100,0,0
104,Smithing,RecipeLevelTable#30,Steel Chaser Hammer,50,100,100,100,0,0
105,Smithing,RecipeLevelTable#30,Steel Pickaxe,50,100,100,100,0,0
106,Smithing,RecipeLevelTable#30,Steel Sledgehammer,50,100,100,100,0,0
107,Smithing,RecipeLevelTable#30,Silver Head Knife,50,150,75,100,0,0
108,Smithing,RecipeLevelTable#30,Bas-relief Steel Saw,50,100,100,100,0,0
109,Smithing,RecipeLevelTable#31,Steel Awl,50,100,100,100,0,0
110,Smithing,RecipeLevelTable#31,Steel Claw Hammer,50,100,100,100,0,0
111,Smithing,RecipeLevelTable#31,Steel Falchion,50,100,100,100,0,0
112,Smithing,RecipeLevelTable#32,Steel Culinary Knife,50,100,100,100,0,0
113,Smithing,RecipeLevelTable#32,Steel Bardiche,50,100,100,100,0,0
114,Smithing,RecipeLevelTable#32,Steel Mortar,50,100,100,100,0,0
115,Smithing,RecipeLevelTable#32,Steel Cross-pein Hammer,50,100,100,100,0,0
116,Smithing,RecipeLevelTable#32,Steel Ornamental Hammer,50,100,100,100,0,0
117,Smithing,RecipeLevelTable#33,Steel Scythe,50,100,100,100,0,0
118,Smithing,RecipeLevelTable#33,Wrapped Steel Sledgehammer,50,150,75,100,0,0
119,Smithing,RecipeLevelTable#35,Plumed Steel Hatchet,50,100,100,100,0,0
120,Smithing,RecipeLevelTable#33,Steel Dolabra,50,100,100,100,0,0
121,Smithing,RecipeLevelTable#34,Steel File,50,100,100,100,0,0
122,Smithing,RecipeLevelTable#34,Steel Doming Hammer,50,100,100,100,0,0
