Key,Level,CraftType,Name,NameJA,NameDE,NameFR,ClassJobLevel,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,SuggestedCraftsmanship,Stars,Difficulty,Quality,Durability,ProgressDivider,ProgressModifier,QualityDivider,QualityModifier

0,0,Woodworking,,,,,0,50,100,100,100,10000,0,100,100,100,50,100,30,100

1,1,Smithing,Bronze Ingot,ブロンズインゴット,Bronzebarren,Lingot de bronze,1,0,50,80,67,22,0,19,100,60,50,100,30,100

2,1,Smithing,Bronze Hatchet,ハチェット,Bronzehandbeil,Hachette,1,50,100,100,100,22,0,19,100,60,50,100,30,100

3,2,Smithing,Bronze Bastard Sword,バスタードソード,Bastardschwert,Épée bâtarde,2,50,100,100,100,22,0,20,110,60,50,100,30,100

4,2,Smithing,Amateur's File,アマチュアファイル,Laienfeile,Lime d'amateur,2,50,100,100,100,22,0,20,110,60,50,100,30,100

5,3,Smithing,Bronze Rivets,ブロンズリベット,Bronzenieten,Rivets en bronze,3,50,50,80,67,22,0,20,120,60,50,100,30,100

6,3,Smithing,Bronze War Axe,ウォーアクス,Bron<SoftHyphen/>ze<SoftHyphen/>streit<SoftHyphen/>axt,Hache de guerre,3,50,100,100,100,22,0,20,120,60,50,100,30,100

7,3,Smithing,Amateur's Pliers,アマチュアプライヤー,Laienzange,Tenailles d'amateur,3,50,100,100,100,22,0,20,120,60,50,100,30,100

8,4,Smithing,Amateur's Awl,アマチュアアウル,Laien-Ahle,Alêne d'amateur,4,50,100,100,100,22,0,21,130,60,50,100,30,100

9,4,Smithing,Bronze Saw,ソー,Bronzefuchsschwanz,Scie,4,50,100,100,100,22,0,21,130,60,50,100,30,100

10,5,Smithing,Amateur's Claw Hammer,アマチュアクローハンマー,Laien-Klauenhammer,Marteau arrache-clou d'amateur,5,50,100,100,100,50,0,33,150,60,50,100,30,100

11,5,Smithing,Bronze Cross-pein Hammer,クロスペインハンマー,Bronze-Kreuz<SoftHyphen/>schlag<SoftHyphen/>ham<SoftHyphen/>mer,Marteau à panne croisée,5,50,100,100,100,50,0,33,150,60,50,100,30,100

12,5,Smithing,Bronze Doming Hammer,ドーミングハンマー,Bronze-Flachhammer,Marteau à emboutir,5,50,100,100,100,50,0,33,150,60,50,100,30,100

13,6,Smithing,Amateur's Culinary Knife,アマチュアクリナリーナイフ,Laien-Küchenmesser,Couteau de cuisine d'amateur,6,50,100,100,100,50,0,36,170,60,50,100,30,100

14,6,Smithing,Amateur's Mortar,アマチュアモーター,Laienmörser,Mortier d'amateur,6,50,100,100,100,50,0,36,170,60,50,100,30,100

15,7,Smithing,Viking Sword,ヴァイキングソード,Wikingerschwert,Épée viking,7,50,100,100,100,50,0,37,190,60,50,100,30,100

16,7,Smithing,Bronze Chaser Hammer,チェーサーハンマー,Bronze-Ziselierhammer,Marteau de ciseleur,7,50,100,100,100,50,0,37,190,60,50,100,30,100

17,7,Smithing,Bronze Labrys,ラブリュス,Bronze-Labrys,Labrys,7,50,100,100,100,50,0,37,190,60,50,100,30,100

18,8,Smithing,Bronze Pickaxe,ピック,Bronzespitzhacke,Pioche,8,50,100,100,100,59,0,41,210,60,50,100,30,100

19,8,Smithing,Bronze Head Knife,ヘッドナイフ,Bronze-Sattlermesser,Couteau à pied,8,50,100,100,100,59,0,41,210,60,50,100,30,100

20,9,Smithing,Cloud Axe,クラウドアクス,Wolkenaxt,Hache ouragan,9,50,150,75,100,59,0,42,230,60,50,100,30,100

21,9,Smithing,Bronze Claw Hammer,クローハンマー,Bronze-Klauenhammer,Marteau arrache-clou,9,50,100,100,100,59,0,42,230,60,50,100,30,100

22,10,Smithing,Bronze File,ファイル,Bronzefeile,Lime,10,50,100,100,100,59,0,45,250,60,50,100,30,100

23,10,Smithing,Bronze Pliers,プライヤー,Bronzezange,Tenailles,10,50,100,100,100,59,0,45,250,60,50,100,30,100

24,10,Smithing,Bronze Mortar,モーター,Bronzemörser,Mortier,10,50,100,100,100,59,0,45,250,60,50,100,30,100

25,10,Smithing,Amateur's Cross-pein Hammer,アマチュア・クロスペインハンマー,Laien-Kreuz<SoftHyphen/>schlag<SoftHyphen/>ham<SoftHyphen/>mer,Marteau à panne croisée d'amateur,10,50,100,100,100,59,0,45,250,60,50,100,30,100

26,10,Smithing,Amateur's Chaser Hammer,アマチュアチェーサーハンマー,Laien-Ziselierhammer,Marteau de ciseleur d'amateur,10,50,100,100,100,59,0,45,250,60,50,100,30,100

27,11,Smithing,Bronze Awl,アウル,Bronze-Ahle,Alêne,11,50,100,100,100,67,0,48,270,60,50,100,30,100

28,11,Smithing,Bronze Scythe,サイズ,Bronzesense,Faux,11,50,100,100,100,67,0,48,270,60,50,100,30,100

29,11,Smithing,Amateur's Doming Hammer,アマチュアドーミングハンマー,Laien-Flachhammer,Marteau à emboutir d'amateur,11,50,100,100,100,67,0,48,270,60,50,100,30,100

30,11,Smithing,Amateur's Pickaxe,アマチュアピック,Laien-Spitzhacke,Pioche d'amateur,11,50,100,100,100,67,0,48,270,60,50,100,30,100

31,11,Smithing,Amateur's Head Knife,アマチュアヘッドナイフ,Laien-Sattlermesser,Couteau à pied d'amateur,11,50,100,100,100,67,0,48,270,60,50,100,30,100

32,12,Smithing,Bronze Culinary Knife,クリナリーナイフ,Bronze-Küchenmesser,Couteau de cuisine,12,50,100,100,100,67,0,53,290,60,50,100,30,100

33,12,Smithing,Bronze Sledgehammer,モール,Bronze-Vorschlaghammer,Maillet,12,50,100,100,100,67,0,53,290,60,50,100,30,100

34,12,Smithing,Amateur's Saw,アマチュアソー,Laien-Fuchsschwanz,Scie d'amateur,12,50,100,100,100,67,0,53,290,60,50,100,30,100

35,12,Smithing,Amateur's Hatchet,アマチュアハチェット,Laien-Handbeil,Hachette d'amateur,12,50,100,100,100,67,0,53,290,60,50,100,30,100

36,12,Smithing,Bronze Ornamental Hammer,オーナメンタルハンマー,Bronze-Ornamenthammer,Marteau ornementé,12,50,150,75,100,67,0,53,290,60,50,100,30,100

37,13,Smithing,Bronze Knuckles,メタルナックル,Bronzeschlagringe,Poings métalliques,13,50,100,100,100,67,0,54,310,60,50,100,30,100

38,13,Smithing,Bronze Spatha,スパタ,Bronze-Spatha,Spathe,13,50,100,100,100,67,0,54,310,60,50,100,30,100

39,14,Smithing,Spiked Bronze Labrys,スパイクドラブリュス,Stachelbewehrte Bronze-Labrys,Labrys en bronze à pointe,14,50,100,100,100,67,0,54,330,60,50,100,30,100

40,14,Smithing,Brass Head Knife,ブラスヘッドナイフ,Messing-Sattlermesser,Couteau à pied en laiton,14,50,150,75,100,67,0,54,330,60,50,100,30,100

41,15,Smithing,Birdsbeak Hammer,バードビークハンマー,Schnabelhammer,Marteau à bec,15,50,100,100,100,67,0,55,360,70,50,100,30,100

42,15,Smithing,Bronze Raising Hammer,レイジングハンマー,Bronze-Schlichthammer,Marteau de batteur,15,50,100,100,100,67,0,55,360,70,50,100,30,100

43,16,Smithing,Iron Ingot,アイアンインゴット,Eisenbarren,Lingot de fer,16,0,50,80,58,78,0,63,390,70,50,100,30,100

44,16,Smithing,Plumed Bronze Pickaxe,プルームドピック,Gefiederte Bronzespitzhacke,Pioche à plumet,16,50,150,75,100,78,0,63,390,70,50,100,30,100

45,16,Smithing,Brass Bastard Sword,ブラスバスタードソード,Messing-Bastardschwert,Épée bâtarde en laiton,16,50,150,75,100,78,0,63,390,70,50,100,30,100

46,16,Smithing,Chocobotail Saw,チョコボテイルソー,Bronze-Chocoboschwanz,Scie queue de chocobo,16,50,150,75,100,78,0,63,390,70,50,100,30,100

47,16,Smithing,Brass Knuckles,ブラスナックル,Messingschlagringe,Poings en laiton,16,50,150,75,100,78,0,63,390,70,50,100,30,100

48,17,Smithing,Iron War Axe,アイアンウォーアクス,Eisenstreitaxt,Hache de guerre en fer,17,50,100,100,100,78,0,66,420,70,50,100,30,100

49,17,Smithing,Iron Hatchet,アイアンハチェット,Eisenhandbeil,Hachette en fer,17,50,100,100,100,78,0,66,420,70,50,100,30,100

50,17,Smithing,Iron Labrys,アイアンラブリュス,Eisen-Labrys,Labrys en fer,17,50,100,100,100,78,0,66,420,70,50,100,30,100

51,18,Smithing,Iron Rivets,アイアンリベット,Eisennieten,Rivets en fer,18,50,50,80,58,78,0,67,450,70,50,100,30,100

52,18,Smithing,Iron Cross-pein Hammer,アイアン・クロスペインハンマー,Ei<SoftHyphen/>sen-Kreuz<SoftHyphen/>schlag<SoftHyphen/>ham<SoftHyphen/>mer,Marteau à panne croisée en fer,18,50,100,100,100,78,0,67,450,70,50,100,30,100

53,18,Smithing,Iron Chaser Hammer,アイアンチェーサーハンマー,Eisen-Ziselierhammer,Marteau de ciseleur en fer,18,50,100,100,100,78,0,67,450,70,50,100,30,100

54,18,Smithing,Iron Doming Hammer,アイアンドーミングハンマー,Eisen-Flachhammer,Marteau à emboutir en fer,18,50,100,100,100,78,0,67,450,70,50,100,30,100

55,19,Smithing,Iron Awl,アイアンアウル,Eisen-Ahle,Alêne en fer,19,50,100,100,100,82,0,68,480,70,50,100,30,100

56,19,Smithing,Initiate's Hatchet,イニシエートハチェット,Anfänger-Handbeil,Hachette d'initié,19,50,100,100,100,82,0,68,480,70,50,100,30,100

57,19,Smithing,Initiate's Head Knife,イニシエートヘッドナイフ,Initiaten-Sattlermesser,Couteau à pied d'initié,19,50,100,100,100,82,0,68,480,70,50,100,30,100

58,19,Smithing,Initiate's Sledgehammer,イニシエートモール,Anfänger-Vorschlaghammer,Maillet d'initié,19,50,100,100,100,82,0,68,480,70,50,100,30,100

59,20,Smithing,Brass Viking Sword,ブラスヴァイキングソード,Messing-Wikingerschwert,Épée viking en laiton,20,50,150,75,100,94,0,74,510,70,50,100,30,100

60,20,Smithing,Iron Pickaxe,アイアンピック,Ei<SoftHyphen/>sen<SoftHyphen/>spitz<SoftHyphen/>ha<SoftHyphen/>cke,Pioche en fer,20,50,100,100,100,94,0,74,510,70,50,100,30,100

61,20,Smithing,Initiate's Saw,イニシエートソー,Anfänger-Fuchsschwanz,Scie d'initié,20,50,100,100,100,94,0,74,510,70,50,100,30,100

