key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
#,Number,CraftType,RecipeLevelTable,,Item{Result},Amount{Result},Item{Ingredient}[0],Amount{Ingredient}[0],Item{Ingredient}[1],Amount{Ingredient}[1],Item{Ingredient}[2],Amount{Ingredient}[2],Item{Ingredient}[3],Amount{Ingredient}[3],Item{Ingredient}[4],Amount{Ingredient}[4],Item{Ingredient}[5],Amount{Ingredient}[5],Item{Ingredient}[6],Amount{Ingredient}[6],Item{Ingredient}[7],Amount{Ingredient}[7],RecipeNotebookList,DisplayPriority,IsSecondary,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredQuality,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,Quest,CanQuickSynth,CanHq,ExpRewarded,Status{Required},Item{Required},IsSpecializationRequired,IsExpert,,,PatchNumber,
int32,int32,CraftType,RecipeLevelTable,uint16,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,Item,byte,RecipeNotebookList,uint16,bit&01,byte,uint16,uint16,uint16,uint32,uint16,uint16,uint16,uint16,SecretRecipeBook,Quest,bit&02,bit&04,bit&08,Status,Item,int32,bit&20,bit&40,byte,uint16,uint16
0,0,"Menuiserie","RecipeLevelTable#0",0,"",1,"",0,"",0,"",0,"",0,"",0,"",0,,0,,0,"RecipeNotebookList#0",0,False,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
1,1,"Métallurgie","RecipeLevelTable#1",0,"Lingot de bronze",1,"Minerai de cuivre",2,"Minerai d'étain",1,"",0,"",0,"",0,"",0,"Éclat de feu",1,,0,"RecipeNotebookList#0",0,False,0,50,80,67,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
2,3,"Métallurgie","RecipeLevelTable#1",0,"Hachette",1,"Lingot de bronze",1,"Madrier d'érable",1,"",0,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
3,3,"Métallurgie","RecipeLevelTable#2",0,"Épée bâtarde",1,"Lingot de bronze",1,"Madrier d'érable",1,"Fragment d'os",1,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
4,3,"Métallurgie","RecipeLevelTable#2",0,"Lime d'amateur",1,"Lingot de bronze",2,"Cuir",1,"",0,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
5,1,"Métallurgie","RecipeLevelTable#3",0,"Rivets en bronze",1,"Lingot de bronze",1,"",0,"",0,"",0,"",0,"",0,"Éclat de feu",1,,0,"RecipeNotebookList#0",0,False,50,50,80,67,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
6,3,"Métallurgie","RecipeLevelTable#3",0,"Hache de guerre",1,"Lingot de bronze",2,"Madrier d'érable",1,"",0,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
7,3,"Métallurgie","RecipeLevelTable#3",0,"Tenailles d'amateur",1,"Lingot de bronze",1,"Rivets en bronze",1,"Huile de poisson",1,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
8,3,"Métallurgie","RecipeLevelTable#4",0,"Alêne d'amateur",1,"Lingot de bronze",1,"Madrier d'érable",1,"Huile de poisson",1,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
9,3,"Métallurgie","RecipeLevelTable#4",0,"Scie",1,"Lingot de bronze",1,"Rivets en bronze",1,"Madrier d'érable",1,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
10,3,"Métallurgie","RecipeLevelTable#5",0,"Marteau arrache-clou d'amateur",1,"Lingot de bronze",1,"Madrier d'érable",1,"Huile de poisson",1,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
11,3,"Métallurgie","RecipeLevelTable#5",0,"Marteau à panne croisée",1,"Lingot de bronze",1,"Étoffe de chanvre",1,"Madrier d'érable",1,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
12,3,"Métallurgie","RecipeLevelTable#5",0,"Marteau à emboutir",1,"Lingot de bronze",1,"Madrier d'érable",1,"",0,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
13,3,"Métallurgie","RecipeLevelTable#6",0,"Couteau de cuisine d'amateur",1,"Lingot de bronze",1,"Madrier d'érable",1,"Pierre à aiguiser en grès",1,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
14,3,"Métallurgie","RecipeLevelTable#6",0,"Mortier d'amateur",1,"Lingot de bronze",2,"Madrier d'érable",1,"",0,"",0,"",0,"",0,"Éclat de feu",1,"Éclat de terre",1,"RecipeNotebookList#0",0,True,50,100,100,100,0,0,0,0,0,"",,True,True,True,"","",0,False,False,0,65535,0
